id,genres,popularity,vote_average,vote_count,revenue,budget,runtime
1572,"[""Action"",""Thriller""]",5.229626,6.9,1922,366101666,90000000,128
1576,"[""Horror"",""Action"",""Science Fiction""]",2.988797,6.4,1911,102984862,33000000,100
1580,"[""Crime"",""Drama"",""Mystery"",""Thriller""]",2.537522,7.8,461,2200000,1500000,80
1584,"[""Comedy"",""Music""]",3.058545,6.7,1271,131282949,35000000,108
1588,"[""Comedy""]",1.344664,5.8,536,90449929,28000000,98
1592,"[""Crime"",""Drama"",""Mystery"",""Thriller""]",2.195985,7.4,574,102616183,30000000,129
1596,"[""Drama"",""Horror"",""Mystery"",""Thriller""]",0.191161,5.6,63,0,0,88
1600,"[""Drama"",""Thriller""]",1.424037,7.4,142,1999955,0,97
1608,"[""Drama""]",0.32288,5.3,12,0,0,95
1612,"[""Comedy""]",0.000197,6,6,0,0,92
1616,"[""Comedy""]",0.27752,4.8,6,0,0,97
1620,"[""Action"",""Crime"",""Drama"",""Thriller""]",3.724751,5.9,888,99965753,24000000,89
1624,"[""Comedy""]",3.860427,6.4,1300,181000000,45000000,86
1628,"[""Drama"",""Romance""]",0.686198,7.7,135,0,0,105
1632,"[""Thriller"",""Crime"",""Drama""]",2.319223,7.3,299,34604000,15000000,128
1636,"[""Fantasy"",""Comedy"",""Romance""]",2.085367,5.5,476,90383208,48000000,93
1640,"[""Drama""]",2.220019,7.1,1077,98410061,6500000,112
1644,"[""Thriller"",""Drama"",""Mystery""]",1.846929,5.9,124,0,0,109
1648,"[""Adventure"",""Comedy"",""Science Fiction""]",2.040208,6.7,420,40485039,10000000,90
1652,"[""Comedy"",""Crime""]",0.283924,6.5,15,0,0,92
1656,"[""Action"",""Adventure""]",3.26386,5.9,825,142400065,75000000,129
1660,"[""Drama"",""Comedy""]",0.260741,7.5,21,0,0,104
1672,"[""Action"",""Adventure"",""Thriller""]",1.752876,7,59,0,0,108
1676,"[""Romance"",""Western""]",0.573652,6.1,15,0,0,110
1680,"[""Action"",""Adventure"",""Science Fiction""]",0.890541,5.8,43,0,0,98
1684,"[""Documentary""]",0.001394,5.5,5,0,0,92
1688,"[""Action"",""Science Fiction""]",2.927083,6.1,208,9700000,1700000,88
1696,"[""Drama"",""Horror"",""Crime""]",2.274097,6.6,291,0,0,107
1700,"[""Drama"",""Thriller""]",3.214986,7.6,930,61276872,20000000,107
1712,"[""Action"",""Drama"",""Western""]",1.575349,7.4,145,35000000,5400000,201
1716,"[""Drama"",""Romance"",""War""]",0.924606,7.2,49,0,0,131
1720,"[""Drama""]",0.191454,6.3,26,0,0,90
